照明0,照明1,照明2,照明3,照明4,照明5,照明6,照明7,照明8,照明9,照明10,照明11,照明12,照明13,照明14,センサ0,センサ1,センサ2,
390.0,390.0,390.0,390.0,390.0,390.0,390.0,390.0,390.0,390.0,390.0,814.4,390.0,390.0,390.0,293,398,276,
390.0,390.0,390.0,390.0,390.0,390.0,390.0,390.0,390.0,390.0,390.0,826.8,390.0,390.0,390.0,293,398,276,
390.0,390.0,390.0,390.0,390.0,390.0,390.0,390.0,390.0,390.0,390.0,839.0999999999999,390.0,390.0,390.0,293,399,277,
390.0,390.0,390.0,390.0,390.0,390.0,390.0,390.0,390.0,390.0,390.0,851.3999999999999,390.0,390.0,390.0,294,399,277,
390.0,390.0,390.0,390.0,390.0,390.0,390.0,390.0,390.0,390.0,390.0,863.5999999999999,390.0,390.0,390.0,294,400,278,
390.0,390.0,390.0,390.0,390.0,390.0,390.0,390.0,390.0,390.0,390.0,875.8,390.0,390.0,390.0,294,400,278,
390.0,390.0,390.0,390.0,390.0,390.0,390.0,390.0,390.0,390.0,390.0,887.9,390.0,390.0,390.0,294,401,279,
390.0,390.0,390.0,390.0,390.0,390.0,390.0,390.0,390.0,390.0,390.0,900.0,390.0,390.0,390.0,294,401,279,
390.0,390.0,390.0,390.0,390.0,390.0,390.0,390.0,390.0,390.0,390.0,912.0,390.0,390.0,390.0,294,402,280,
390.0,390.0,390.0,390.0,390.0,390.0,390.0,390.0,390.0,390.0,390.0,923.9,390.0,390.0,390.0,294,402,281,
390.0,390.0,390.0,390.0,390.0,390.0,390.0,390.0,390.0,390.0,390.0,935.8,390.0,390.0,390.0,294,402,281,
390.0,390.0,390.0,390.0,390.0,390.0,390.0,390.0,390.0,390.0,390.0,947.5999999999999,390.0,390.0,390.0,294,403,282,
390.0,390.0,390.0,390.0,390.0,390.0,390.0,390.0,390.0,390.0,390.0,959.3999999999999,390.0,390.0,390.0,294,403,282,
390.0,390.0,390.0,390.0,390.0,390.0,390.0,390.0,390.0,390.0,390.0,971.0999999999999,390.0,390.0,390.0,294,404,283,
390.0,390.0,390.0,390.0,390.0,390.0,390.0,390.0,390.0,390.0,390.0,982.8,390.0,390.0,390.0,294,404,283,
390.0,390.0,390.0,390.0,390.0,390.0,390.0,390.0,390.0,390.0,390.0,994.4,390.0,390.0,390.0,294,404,284,
390.0,390.0,390.0,390.0,390.0,390.0,390.0,390.0,390.0,390.0,390.0,1006.0,390.0,390.0,390.0,295,405,284,
